"CodProd","CodMat","DesProd","CantMat"
CUB16500495003010C,PLA17001570000412C,PLACA 1700*1570 12C,0.670
CUB16601140003010C,PLA17001570000412C,PLACA 1700*1570 12C,2.000
CUB16700175002510C,PLA17001570000412C,PLACA 1700*1570 12C,0.250
CUB16700450003010C,PLA17001570000412C,PLACA 1700*1570 12C,0.670
CUB17000430003010C,PLA17001570000412C,PLACA 1700*1570 12C,0.670
CUB17000450003010C,PLA17001570000412C,PLACA 1700*1570 12C,0.670
CUB17000450007010C,PLA17001570000412C,PLACA 1700*1570 12C,0.670
CUB17000840003010C,PLA17001570000412C,PLACA 1700*1570 12C,2.000
CUB17500700003012C,PLA25001570000412C,PLACA 2500*1570 12C,1.000
CUB17500940003012C,PLA25001570000412C,PLACA 2500*1570 12C,2.000
CUB18000465003010C,PLA25001570000412C,PLACA 2500*1570 12C,0.670
CUB18150385003010C,PLA25001570000412C,PLACA 2500*1570 12C,0.500
CUB18150580003010C,PLA25001570000412C,PLACA 2500*1570 12C,1.000
CUB18600450003010C,PLA25001570000412C,PLACA 2500*1570 12C,0.670
CUB18600540003510C,PLA25001570000412C,PLACA 2500*1570 12C,1.000
CUB18750390003010C,PLA25001570000412C,PLACA 2500*1570 12C,0.670
CUB23000150003010C,PLA25001570000412C,PLACA 2500*1570 12C,0.100
CUB230011700050D98,PLA235023500007D98,PLACA 2350*2350 D98,1.000
EMP003002950042D92,PLA280021450007D92,PLACA 2800*2145 D92,0.000
EMP004002350042D92,PLA280021450007D92,PLACA 2800*2145 D92,0.020
EMP022000400030D92,PLA251521450007D92,PLACA 2515*2145 D92,0.010
EMP032001600030D92,PLA251521450007D92,PLACA 2515*2145 D92,0.050
EMP038000400030D92,PLA280021450007D92,PLACA 2800*2145 D92,0.020
EMP040001200100D92,PLA251521450007D92,PLACA 2515*2145 D92,0.120
EMP045504551000D98,PLA233011650007D98,PLACA 2330*2145 D98,0.500
EMP045504551000D98,PLA233011650007D98,PLACA 2330*2145 D98,0.500
EMP046003750040D92,PLA220021450007D92,PLACA 2200*2145 D92,0.300
EMP049500120100D92,PLA251521450007D92,PLACA 2515*2145 D92,0.120
EMP0500000538.5D92,PLA220021450007D92,PLACA 2200*2145 D92,0.030
EMP050001200014D92,PLA251521450007D92,PLACA 2515*2145 D92,0.030
EMP05300010050D92,PLA220021450007D92,PLACA 2200*2145 D92,0.130
EMP053505150440D92,PLA251521450007D92,PLACA 2515*2145 D92,0.250
EMP053505150440D92,PLA251521450007D92,PLACA 2515*2145 D92,0.250
EMP05400100090D92,PLA220021450007D92,PLACA 2200*2145 D92,0.130
EMP054005100015D92,PLA220021450007D92,PLACA 2200*2145 D92,0.500
EMP055000120090D92,PLA220021450007D92,PLACA 2200*2145 D92,0.280
EMP062001200100D92,PLA251521450007D92,PLACA 2515*2145 D92,0.150
EMP066005501000D92,PLA280021450007D92,PLACA 2800*2145 D92,0.500
EMP066005501000D92,PLA280021450007D92,PLACA 2800*2145 D92,0.500
EMP066005501300D92,PLA280021450007D92,PLACA 2800*2145 D92,1.000
EMP066005501300D92,PLA280021450007D92,PLACA 2800*2145 D92,1.000
EMP069000100050D92,PLA220021450007D92,PLACA 2200*2145 D92,0.090
EMP070004000450D94,PLA251521450007D92,PLACA 2515*2145 D92,0.250
EMP070004000450D94,PLA251521450007D92,PLACA 2515*2145 D92,0.250
EMP070005000400D92,PLA280021450007D92,PLACA 2800*2145 D92,0.340
EMP070005000400D92,PLA280021450007D92,PLACA 2800*2145 D92,0.340
EMP075307530400D94,PLA220021450007D94,PLACA 2200*2145 D94,0.800
EMP075307530800D94,PLA204021600007D94,PLACA 2040*2160 D94,2.000
EMP080000100050D92,PLA251521450007D92,PLACA 2515*2145 D92,0.100
EMP080000120100D92,PLA251521450007D92,PLACA 2515*2145 D92,0.190
EMP080004000500C30,PLA280024500004C30,PLACA 2800*2450 C30,0.250
EMP080004000500C30,PLA280024500004C30,PLACA 2800*2450 C30,0.250
EMP082001200100D9,PLA251521450007D92,PLACA 2515*2145 D92,0.200
EMP082008201020D99,PLA235023500007D98,PLACA 2350*2350 D98,1.000
EMP082008201020D99,PLA235023500007D98,PLACA 2350*2350 D98,1.000
EMP082008201150D98,PLA235023500007D98,PLACA 2350*2350 D98,1.000
EMP082008201150D98,PLA235023500007D98,PLACA 2350*2350 D98,1.000
EMP090001200014D92,PLA280021450007D92,PLACA 2800*2145 D92,0.040
EMP090006000650D92,PLA220021450007D92,PLACA 2200*2145 D92,1.340
EMP093009301025D99,PLA23301070D98,PLACA 2330*1070 D98,2.000
EMP093009301025D99,PLA23301070D98,PLACA 2330*1070 D98,2.000
EMP093009301150D98,PLA233011650007D98,PLACA 2330*1165 D98,4.000
EMP093009301150D98,PLA233011650007D98,PLACA 2330*1165 D98,4.000
EMP094009150600D92,PLA220021450007D92,PLACA 2200*2145 D92,1.340
EMP094009151000D92,PLA220021450007D92,PLACA 2200*2145 D92,2.000
EMP094009401001D92,PLA220021450007D92,PLACA 2200*2145 D92,2.000
