"CodProd","CodMat","DesProd","CantMat"
REL1100002128.509B,PLA11000780000309B,PLACA 1100*780 09B,0.880
REL1100002131.509B,PLA11000780000309B,PLACA 1100*780 09B,0.950
REL1100002132.509B,PLA11000780000309B,PLACA 1100*765 09B,1.200
REL1100002133.509B,PLA11000780000309B,PLACA 1100*765 09B,1.100
REL1100002134.509B,PLA11000780000309B,PLACA 1100*780 09B,0.960
REL1100002134.709B,PLA11000780000309B,PLACA 1100*780 09B,1.030
REL1100002135.509B,PLA11000780000309B,PLACA 1100*765 09B,1.110
REL1100002135.709B,PLA11000780000309B,PLACA 1100*780 09B,1.110
REL1100002136.509B,PLA11000780000309B,PLACA 1100*765 09B,1.110
REL1100002137.509B,PLA11000780000309B,PLACA 1100*780 09B,1.000
REL1100002137.709B,PLA11000780000309B,PLACA 1100*765 09B,1.200
REL1100002138.509B,PLA11000780000309B,PLACA 1100*765 09B,1.170
REL1100002139.509B,PLA11000780000309B,PLACA 1100*780 09B,1.170
